"Page Name","Box Name","Resource Name","Original URL","Final URL","Is Dupe"
"Campus Life","Campus Resources","Off Campus","http://oregonstate.edu/career","https://career.oregonstate.edu/",0
"Campus Life|First Year","Campus Resources","Food @OSU","http://oregonstate.edu/foodatosu/","https://food.oregonstate.edu/",0
"Campus Life|First Year|Corvallis","Campus Resources","Orange Rewards","http://oregonstate.edu/orangerewards/","https://food.oregonstate.edu/orange-rewards",0
"Campus Life|Corvallis","Campus Resources","On Campus","http://hr.oregonstate.edu/student-employment","https://hr.oregonstate.edu/student-employment",0
"Campus Life","Campus Resources","Multi-Cultural Resource Guide","http://oregonstate.edu/mrg","https://oregonstate.edu/mrg",0
"Campus Life","Campus Resources","Food Assistance","http://oregonstate.edu/hsrc/emergency-food-pantry","https://studentlife.oregonstate.edu/hsrc",0
"Campus Life","Campus Resources","OSUsed","http://surplus.oregonstate.edu/","https://surplus.oregonstate.edu/",0
"Campus Life","Campus Resources","Residence Life","http://oregonstate.edu/uhds/housing","https://uhds.oregonstate.edu/housing",0
"Campus Life","Campus Resources","Family Housing","http://oregonstate.edu/uhds/family-housing","https://uhds.oregonstate.edu/housing/family-housing",0
"Campus Life","Campus Resources","GEM","http://oregonstate.edu/uhds/off-campus","https://uhds.oregonstate.edu/off-campus",0
"Campus Life","Events","Events Calendar at OSU","https://events.oregonstate.edu/","https://events.oregonstate.edu/",0
"Campus Life","Events","Athletic Events","http://www.osubeavers.com/","https://osubeavers.com/",0
"Campus Life","Events","Corvallis Events","http://www.visitcorvallis.com/index.php?action=home","https://www.visitcorvallis.com/index.php?action=home",0
"Campus Life","Faculty & Staff","Association of Office Professionals","http://oregonstate.edu/aop/","https://fa.oregonstate.edu/aop",0
"Campus Life","Faculty & Staff","Faculty & Staff Fitness","http://www.hhs.oregonstate.edu/nes/faculty-staff-fitness-fsf-program","https://health.oregonstate.edu/faculty-staff-fitness",0
"Campus Life","Faculty & Staff","Leadership Development","http://oregonstate.edu/admin/hr/leadership/","https://hr.oregonstate.edu/journey-leadership",0
"Campus Life","Faculty & Staff","Professional Development","http://oregonstate.edu/main/faculty-staff/professional-development","https://main.oregonstate.edu/",0
"Campus Life","Faculty & Staff","Professional Faculty Leadership Association","http://oregonstate.edu/pfla/","https://pfla.oregonstate.edu/",0
"Campus Life","Faculty & Staff","Printing & Mailing Services","http://printmail.oregonstate.edu/node/36","https://printmail.oregonstate.edu/node/36",0
"Campus Life","Faculty & Staff","Faculty Senate","http://oregonstate.edu/senate/","https://senate.oregonstate.edu/",0
"Campus Life","Faculty & Staff","Campus Coalition Builders","http://oregonstate.edu/studentaffairs/campus-coalition-builders","https://studentaffairs.oregonstate.edu/campus-coalition-builders",0
"Campus Life","Getting Involved","Student Government (ASOSU)","http://asosu.oregonstate.edu/","https://asosu.oregonstate.edu/",0
"Campus Life","Getting Involved","Internships","http://career.oregonstate.edu/students/career-major-exploration/hands-learning-experience/internships","https://career.oregonstate.edu/students/career-major-exploration/hands-learning-experience/internships",0
"Campus Life","Getting Involved","Institutional Diversity","http://leadership.oregonstate.edu/diversity","https://diversity.oregonstate.edu",0
"Campus Life","Getting Involved","OSU Experience","http://experience.oregonstate.edu/","https://experience.oregonstate.edu/",0
"Campus Life","Getting Involved","Diversity Resources","http://experience.oregonstate.edu/diversity","https://experience.oregonstate.edu/diversity",0
"Campus Life","Getting Involved","Other Leadership Opportunities","http://experience.oregonstate.edu/leadership","https://experience.oregonstate.edu/leadership",0
"Campus Life","Getting Involved","OSU Resources","http://experience.oregonstate.edu/resources","https://experience.oregonstate.edu/resources",0
"Campus Life","Getting Involved","Dixon Recreation Center","http://recsports.oregonstate.edu/","https://recsports.oregonstate.edu/",0
"Campus Life","Getting Involved","Adventure Leadership Institute","http://recsports.oregonstate.edu/ali","https://recsports.oregonstate.edu/ali",0
"Campus Life","Getting Involved","Intramural Sports","http://recsports.oregonstate.edu/intramural-sports","https://recsports.oregonstate.edu/intramural-sports",0
"Campus Life","Getting Involved","Civic Engagement Opportunities","http://sli.oregonstate.edu/cce/listings","https://sli.oregonstate.edu/cce/service",0
"Campus Life","Getting Involved","Craft Center","http://sli.oregonstate.edu/craft","https://sli.oregonstate.edu/craft",0
"Campus Life","Getting Involved","Fraternities & Sororities","http://studentlife.oregonstate.edu/cfsl","https://studentlife.oregonstate.edu/cfsl",0
"Campus Life","Getting Involved","Spiritual Life","http://studentlife.oregonstate.edu/spiritual-life","https://studentlife.oregonstate.edu/spiritual-life",0
